,Name,                HIP,Comment,                    RAh,RAm,RAs,DECsign,DECd,DEC’,DEC”,RA_degrees,DEC_degrees,V_mag,band,spectral_type,Planet,Teff,e_Teff,logg,e_logg,[Fe/H],e_feh,works,mass,e_mass
340,HD 004928           ,3992,                             ,0,51,18.3241,+,3,23,6.072,12.8263502,3.3850198,6.387, ,K0III         , ,4772,100,2.58,0.15,-0.15,0.15,1,1.199,0.3885
341,HD 004955           ,3986,                             ,0,51,14.8773,-,34,5,1.724,12.8119888,-34.0838127,8.39, ,K3III         , ,4130,100,1,0.15,-0.4,0.15,1,1.066,0.247
342,HD 004963           ,4050,                             ,0,51,54.3764,+,27,46,46.125,12.9765682,27.7794781,7.83, ,K1III         , ,4661,100,2.32,0.15,-0.51,0.15,1,1.043,0.2345
343,HD 005007           ,4083,Double or multiple star      ,0,52,23.2423,+,25,46,50.316,13.0968428,25.7806435,7.68, ,K1III         , ,4546,100,2.64,0.15,0.04,0.15,1,1.076,0.1755
344,HD 005015           ,4151,Spectroscopic binary         ,0,53,4.1967,+,61,7,26.291,13.2674866,61.1239662,4.82, ,F8V           , ,6127,61.27,4.07,0.14,0.03,0.05,10,1.263,0.095
345,HD 005028           ,3961,                             ,0,50,52.4116,-,71,9,5.16,12.7183819,-71.1514359,6.859, ,F6VFe-0.4     , ,6500,130,4.38,0.15,-0.35,0.15,1,1.142,0.0765
346,HD 005065           ,4127,                             ,0,52,51.7531,+,40,14,44.051,13.2156382,40.2455711,6.774, ,G0            , ,5886,70.632,4.07,0.07,-0.12,0.07,4,1.074,0.052
347,HD 005098           ,4104,Star in double system        ,0,52,40.6248,-,24,0,21.039,13.1692696,-24.0058441,5.46, ,K1III         , ,4335,85,2.08,0.28,-0.34,0.11,2,1.039,0.18
348,HD 005133           ,4148,                             ,0,53,1.1351,-,30,21,24.895,13.2547293,-30.3569164,7.171, ,K2.5Vk        , ,4943,50,4.65,0.11,-0.1,0.05,7,0.761,0.023
349,HD 005186           ,4195,                             ,0,53,35.4488,-,24,1,48.541,13.3977032,-24.0301495,8.68, ,G5V           , ,5750,115,4.43,0.15,-0.26,0.15,1,0.919,0.057
350,HD 005234           ,4292,Star in double system        ,0,55,0.1565,+,58,58,21.712,13.7506523,58.9726982,4.829, ,K2III         , ,4427,70,2.2,0.1,-0.07,0.09,3,1.118,0.2515
351,HD 005256           ,5122,G 265-5                      ,1,5,41.5454,+,87,19,8.359,16.4231071,87.318985,8.767, ,G5            , ,5234,73.276,3.79,0.09,-0.55,0.09,3,0.915,0.0655
352,HD 005268           ,4257,21 Cet                       ,0,54,17.5929,-,8,44,26.382,13.5733032,-8.7406616,6.162, ,G5IV          , ,4888,50,2.54,0.27,-0.46,0.05,7,1.194,0.4075
353,HD 005286           ,4288,Double or multiple star      ,0,54,58.1071,+,23,37,42.007,13.7421131,23.628336,5.505, ,K1IV          , ,4800,70,3.21,0.29,0.11,0.09,3,1.084,0.1755
354,HD 005294           ,4290,                             ,0,54,59.2703,+,24,6,0.974,13.7469597,24.1002712,7.38, ,G5            , ,5738,97.546,4.22,0.12,-0.16,0.11,2,0.954,0.0555
355,HD 005319           ,4297,                             ,0,55,1.3998,+,0,47,22.401,13.7558336,0.7895558,8.05, ,K0III         ,P,4920,59,3.36,0.11,0.08,0.05,7,1.343,0.199
356,HD 005322           ,4254,                             ,0,54,14.9492,-,57,24,11.183,13.5622873,-57.4031067,7.32, ,G7II/III      , ,4904,100,1.97,0.15,0.01,0.15,1,2.727,0.377
357,HD 005349           ,4310,                             ,0,55,11.7858,-,16,58,17.607,13.7991076,-16.9715576,7.91, ,K0IV          , ,5092,101.84,3.88,0.15,0.43,0.15,1,1.055,0.12
358,HD 005351           ,4454,                             ,0,57,4.4116,+,69,2,36.429,14.2683821,69.0434494,9.119, ,K4V           , ,4378,100,4.6,0.15,-0.21,0.15,1,0.622,0.0315
359,HD 005372           ,4393,                             ,0,56,17.3676,+,52,29,28.453,14.0723648,52.4912376,7.52, ,G5            , ,5877,117.54,4.4,0.15,0.21,0.15,1,1.092,0.0725
360,HD 005384           ,4346,                             ,0,55,42.4001,-,7,20,49.736,13.9266672,-7.3471489,5.883, ,K5III         , ,3911,70,1.67,0.23,0.19,0.09,3,1.086,0.1655
361,HD 005388           ,4311,                             ,0,55,11.8899,-,47,24,21.476,13.7995415,-47.4059677,6.72, ,F6V           ,B,6281,87.934,4.16,0.14,-0.3,0.09,3,1.134,0.0745
362,HD 005392           ,4449,                             ,0,56,55.4562,+,64,31,56.219,14.2310677,64.5322876,7.026, ,F4Iab...      , ,6862,116.654,2.26,0.11,0.05,0.11,2,-1,-1
363,HD 005395           ,4422,28 Cas                       ,0,56,39.9051,+,59,10,51.8,14.1662712,59.181057,4.632, ,G8IIIb        , ,4844,56,2.47,0.28,-0.35,0.07,8,1.261,0.4815
364,HD 005418           ,4382,                             ,0,56,9.1206,+,13,57,7.052,14.038002,13.9519587,6.44, ,G8II          , ,4951,100,2.64,0.15,0.05,0.15,1,2.655,0.509
365,HD 005424           ,4347,Spectroscopic binary         ,0,55,43.9264,-,27,53,37.232,13.9330273,-27.8936749,9.49, ,G8II          , ,4635,100,1.9,0.15,-0.53,0.15,1,1.224,0.5105
366,HD 005426           ,4343,                             ,0,55,41.0499,-,33,45,11.456,13.9210415,-33.7531815,9.63, ,KIIvw         , ,4980,85,2.19,0.29,-2.3,0.11,2,-1,-1
367,HD 005437           ,4371,22 Cet                       ,0,56,1.4901,-,11,15,59.495,14.0062084,-11.2665262,5.359, ,K4III         , ,3945,85,1.48,0.19,-0.19,0.11,2,1.049,0.164
368,HD 005448           ,4436,mu. And                      ,0,56,45.2121,+,38,29,57.638,14.1883841,38.4993439,3.87, ,A5V           , ,8147,162.94,3.83,0.15,-0.14,0.15,1,2.241,0.203
369,HD 005457           ,4293,lam Tuc                      ,0,55,0.3126,-,69,31,37.503,13.7513027,-69.5270844,5.461, ,K2III         , ,4706,85,2.7,0.11,-0.02,0.11,2,1.135,0.269
370,HD 005470           ,4423,                             ,0,56,40.2234,+,17,57,35.333,14.1675978,17.959816,8.33, ,G0            , ,5948,101.116,4.33,0.11,0.23,0.11,2,1.134,0.0625
371,HD 005494           ,4457,                             ,0,57,9.7893,+,34,51,50.654,14.2907887,34.8640709,7.95, ,F7V           , ,6040,102.68,4.02,0.11,-0.2,0.11,2,1.124,0.0905
372,HD 005516           ,4463,Spectroscopic binary         ,0,57,12.4,+,23,25,3.533,14.3016663,23.4176483,4.403, ,G8III         , ,4991,79,2.92,0.2,-0.17,0.19,3,1.372,0.4915
373,HD 005562           ,4395,                             ,0,56,21.2487,-,63,57,30.182,14.0885363,-63.9583855,7.17, ,G8IV          , ,5453,109.06,4.15,0.15,0.22,0.15,1,0.987,0.0745
374,HD 005575           ,4510,68 Psc                       ,0,57,50.1519,+,28,59,31.98,14.4589663,28.9922161,5.439, ,G6III         , ,4748,85,2.45,0.4,-0.12,0.12,2,1.156,0.325
375,HD 005600           ,4504,                             ,0,57,42.2213,+,2,5,37.75,14.4259224,2.0938194,7.99, ,F8            , ,6153,123.06,3.66,0.15,-0.28,0.15,1,1.393,0.1925
376,HD 005608           ,4552,                             ,0,58,14.2189,+,33,57,3.183,14.5592451,33.9508858,5.98, ,K0III         ,P,4903,50,3.23,0.1,0.13,0.05,6,1.508,0.2315
377,HD 005722           ,4587,23 Cet                       ,0,58,43.8678,-,11,22,47.912,14.6827822,-11.3799753,5.621, ,G7III         , ,4912,59,2.63,0.22,-0.21,0.05,8,2.069,0.6555
378,HD 005747           ,4674,                             ,1,0,2.7883,+,60,30,35.855,15.0116177,60.5099602,7.095, ,G8II          , ,5100,102,3,0.15,0.2,0.15,1,2.513,0.37
379,HD 005750           ,0,                             ,0,59,35.84,+,32,29,31.93,14.899333,32.4922028,7.003, ,F5            , ,6260,87.64,4.14,0.1,-0.42,0.09,3,1.086,0.0635
380,HD 005780           ,4624,Star in double system        ,0,59,23.312,+,0,46,43.556,14.8471336,0.7787656,7.65, ,K5II-III      , ,4038,251,1.43,0.76,-0.55,0.25,5,1.017,0.184
381,HD 005817           ,4966,                             ,1,3,38.7767,+,82,6,2.688,15.9115686,82.1007462,8.44, ,G5            , ,5782,115.64,4.49,0.15,-0.65,0.15,1,0.824,0.048
382,HD 005848           ,5372,                             ,1,8,44.8773,+,86,15,25.525,17.1869888,86.2570877,4.244, ,K2II-III      , ,4450,85,2.35,0.11,0.14,0.11,2,1.179,0.313
383,HD 005857           ,4689,Double or multiple star      ,1,0,15.7281,+,18,11,56.489,15.0655336,18.1990242,8.92, ,G5            , ,4557,100,2.82,0.15,-0.35,0.15,1,0.985,0.097
384,HD 005873           ,4696,                             ,1,0,21.1788,+,17,13,34.931,15.0882444,17.2263699,7.25, ,K2III         , ,4893,100,3.3,0.15,0.12,0.15,1,1.155,0.226
385,HD 005877           ,4618,                             ,0,59,19.3844,-,58,24,17.582,14.8307686,-58.4048843,7.78, ,K1III         , ,4750,100,2.91,0.15,0.01,0.15,1,1.086,0.2055
386,HD 005891           ,4715,                             ,1,0,33.192,+,20,17,32.938,15.1382999,20.2924824,8.105, ,G5            ,P,4837,50,2.71,0.14,-0.29,0.14,5,1.163,0.333
387,HD 005915           ,4816,                             ,1,1,48.7652,+,63,36,20.295,15.4531879,63.6056366,8.18, ,F0            , ,6803,136.06,3.73,0.15,-0.35,0.15,1,1.589,0.1575
388,HD 005916           ,4771,                             ,1,1,19.0239,+,45,27,7.382,15.3292665,45.4520531,6.874, ,G8III-IV      , ,4887,94,2.12,0.29,-0.7,0.12,4,1.189,0.4925
389,HD 005946           ,4752,                             ,1,1,5.5324,+,8,46,9.734,15.2730503,8.7693701,8.93, ,G5            , ,5643,112.86,4.11,0.15,0.33,0.15,1,1.098,0.1015
390,HD 005996           ,4907,                             ,1,2,57.2224,+,69,13,37.415,15.7384262,69.2270584,7.67, ,G5V           , ,5355,107.1,4.5,0.15,-0.19,0.15,1,0.839,0.045
391,HD 006019           ,4804,                             ,1,1,39.6155,+,7,18,18.972,15.4150648,7.3052702,7.72, ,G0            , ,5020,100.4,3.08,0.15,-0.35,0.15,1,1.09,0.2445
392,HD 006030           ,4806,                             ,1,1,42.8889,+,9,44,45.711,15.4287033,9.7460308,7.86, ,G5            , ,4926,100,3.26,0.15,0.04,0.15,1,1.161,0.2405
393,HD 006037           ,4801,                             ,1,1,38.6447,-,16,15,56.064,15.4110203,-16.2655735,6.47, ,K2/K3III      , ,4669,100,2.77,0.15,0.14,0.15,1,1.136,0.2535
394,HD 006107           ,4772,                             ,1,1,19.0319,-,60,51,36.533,15.3292999,-60.8601456,6.928, ,G1/G2V        , ,5759,115.18,4,0.15,-0.05,0.15,1,1.07,0.1135
395,HD 006130           ,4962,Double or multiple star      ,1,3,37.0057,+,61,4,29.361,15.9041901,61.0748215,5.964, ,F0II          , ,6975,118.575,2.2,0.15,-0.04,0.12,2,-1,-1
396,HD 006168           ,4830,                             ,1,2,3.5262,-,49,39,25.039,15.5146923,-49.6569557,8.326, ,G0/G1V        , ,6060,103.02,4.18,0.11,0.14,0.11,2,1.197,0.086
397,HD 006186           ,4906,eps Psc                      ,1,2,56.6084,+,7,53,24.488,15.7358675,7.8901353,4.28, ,G9III         , ,4876,60,2.67,0.25,-0.26,0.07,4,1.286,0.4415
398,HD 006203           ,4914,Star in double system        ,1,3,2.5361,-,4,50,11.762,15.7605667,-4.8366008,5.409, ,K0III         , ,4593,70,2.62,0.27,-0.28,0.09,3,1.026,0.1555
399,HD 006204           ,4909,                             ,1,2,57.4204,-,9,51,40.46,15.7392511,-9.8612394,8.53, ,G3V           , ,5816,58.16,4.46,0.05,0.01,0.05,6,1.02,0.0295
400,HD 006210           ,5021,                             ,1,4,19.451,+,61,34,48.662,16.0810471,61.5801811,5.847, ,F6V           , ,6065,121.3,3.86,0.15,-0.17,0.15,1,1.256,0.1505
401,HD 006229           ,4960,                             ,1,3,36.4548,+,23,46,6.371,15.9018946,23.7684364,8.6, ,G5IIIw        , ,5231,88.927,2.51,0.11,-1.03,0.11,2,2.435,0.7805
402,HD 006233           ,4899,                             ,1,2,52.5499,-,37,17,3.329,15.7189569,-37.284256,8.39, ,G8III/IV      , ,5781,115.62,4.41,0.15,0.04,0.15,1,0.997,0.0635
403,HD 006234           ,4892,                             ,1,2,49.724,-,37,18,58.235,15.7071819,-37.3161774,8.53, ,G5V           , ,5989,101.813,4.41,0.11,-0.28,0.11,2,0.99,0.0525
404,HD 006250           ,5016,                             ,1,4,16.6005,+,54,12,15.286,16.06917,54.2042465,6.838, ,G0            , ,6184,74.208,3.93,0.07,-0.17,0.07,4,1.271,0.085
405,HD 006254           ,4930,                             ,1,3,15.765,-,26,10,48.403,15.8156862,-26.1801109,8.01, ,G8IV          , ,4710,100,2.8,0.15,-0.25,0.15,1,1.029,0.1535
406,HD 006268           ,4933,                             ,1,3,18.1705,-,27,52,49.959,15.8257093,-27.8805447,8.109, ,KIIvw         , ,4729,79,1.25,0.32,-2.45,0.17,11,0.915,0.178
407,HD 006269           ,4932,                             ,1,3,17.6955,-,29,31,33.053,15.8237314,-29.5258484,6.294, ,G5IV          , ,4872,100,2.8,0.15,-0.39,0.15,1,1.049,0.219
408,HD 006312           ,5106,                             ,1,5,26.4889,+,63,43,16.654,16.3603725,63.7212944,8.29, ,G0            , ,5833,81.662,4.4,0.09,-0.26,0.09,3,0.942,0.0415
409,HD 006319           ,5928,                             ,1,16,13.1901,+,87,8,43.786,19.0549583,87.1454926,6.193, ,K2III         , ,4650,100,2.3,0.15,0.06,0.15,1,1.352,0.5845
410,HD 006348           ,5031,                             ,1,4,26.4715,-,2,21,59.742,16.1102982,-2.3665948,9.17, ,G5            , ,5120,71.68,4.53,0.09,-0.55,0.09,3,0.711,0.0285
411,HD 006378           ,5027,                             ,1,4,24.1515,-,25,36,17.993,16.1006317,-25.6049976,9.78, ,K5+vk:        , ,4398,100,4.7,0.15,-0.08,0.15,1,0.641,0.032
412,HD 006397           ,5081,Spectroscopic binary         ,1,5,5.3557,+,14,56,46.081,16.272316,14.9461336,5.646, ,F4II-III      , ,6580,131.6,4.03,0.15,-0.1,0.15,1,1.361,0.137
413,HD 006434           ,5054,                             ,1,4,40.1503,-,39,29,17.585,16.1672935,-39.4882202,7.72, ,G2/3V         ,P,5774,57.74,4.4,0.12,-0.56,0.05,10,0.841,0.029
414,HD 006440           ,5110,Primary of wide pair         ,1,5,29.915,+,15,23,24.235,16.3746471,15.3900652,9.17, ,K3.5V+K8V     , ,4648,100,4.61,0.15,-0.09,0.15,1,0.693,0.0345
415,HD 006461           ,5104,                             ,1,5,25.4451,-,12,54,12.09,16.3560219,-12.9033575,7.652, ,G3V           , ,5112,61.344,2.51,0.23,-0.85,0.07,4,2.077,0.75
416,HD 006470           ,5134,                             ,1,5,42.9039,+,2,28,37.607,16.4287663,2.477113,8.95, ,G5            , ,5746,97.682,4.42,0.11,-0.22,0.11,2,0.929,0.047
417,HD 006474           ,5239,                             ,1,6,59.7414,+,63,46,23.383,16.7489243,63.7731628,7.6, ,G4Ia          , ,6275,125.5,1.69,0.15,0.32,0.15,1,-1,-1
418,HD 006479           ,5141,Star in double system        ,1,5,49.2291,+,4,54,30.139,16.455122,4.9083719,6.354, ,F3V           , ,6720,114.24,4.32,0.18,-0.09,0.11,2,1.335,0.0685
419,HD 006480           ,5144,Star in double system        ,1,5,51.4384,+,4,54,33.875,16.4643269,4.90941,7.25, ,F6V           , ,6186,114,4.37,0.13,-0.22,0.11,2,1.081,0.062
420,HD 006482           ,5121,27 Cet                       ,1,5,36.8826,-,9,58,45.562,16.4036789,-9.9793224,6.101, ,K0III         , ,4789,70,2.72,0.19,-0.06,0.09,3,1.265,0.3965
421,HD 006497           ,5240,                             ,1,7,0.1739,+,56,56,5.901,16.7507248,56.9349747,6.415, ,K2III         , ,4449,85,2.75,0.11,0.03,0.11,2,1.024,0.0925
422,HD 006500           ,5163,                             ,1,6,5.153,+,1,42,23.081,16.521471,1.7064115,9.448, ,G             , ,5669,83,4.47,0.12,-0.59,0.09,3,0.811,0.036
423,HD 006512           ,5176,                             ,1,6,12.6312,+,13,15,9.877,16.5526314,13.2527437,8.15, ,G0            , ,5834,62,4.38,0.06,0.14,0.05,5,1.069,0.0345
424,HD 006557           ,5204,                             ,1,6,33.6268,+,12,57,21.742,16.6401119,12.9560394,6.141, ,G8III         , ,4842,100,2.75,0.15,-0.27,0.15,1,1.102,0.2715
425,HD 006558           ,5189,                             ,1,6,25.7178,-,0,44,58.028,16.6071587,-0.7494522,8.2, ,G2V           , ,6064,103.088,4.22,0.11,0.27,0.11,2,1.227,0.076
426,HD 006559           ,5170,                             ,1,6,7.7036,-,23,59,32.823,16.5320988,-23.9924507,6.125, ,K1III         , ,4740,85,2.65,0.11,0.02,0.11,2,1.331,0.474
427,HD 006582           ,5336,Spectroscopic binary         ,1,8,16.3947,+,54,55,13.226,17.0683098,54.9203415,5.17, ,G5Vb          , ,5339,59,4.5,0.13,-0.84,0.05,21,0.702,0.0225
428,HD 006611           ,5276,                             ,1,7,28.7405,+,41,15,31.957,16.869751,41.2588768,7.24, ,F5            , ,6170,123.4,4.17,0.15,-0.13,0.15,1,1.141,0.098
429,HD 006628           ,5227,                             ,1,6,49.0269,-,22,51,21.226,16.7042789,-22.855896,7.79, ,K0IV          , ,4803,100,3.01,0.15,-0.3,0.15,1,1.008,0.1365
430,HD 006660           ,5286,Primary of wide pair         ,1,7,37.8719,+,22,57,17.914,16.9078007,22.954977,8.41, ,K4V           , ,4706,60,4.52,0.11,0.17,0.1,4,0.759,0.029
431,HD 006660 B         ,0,BD+22 176B                   ,1,7,38.5333,+,22,57,20.722,16.9105549,22.9557571,13.6, ,M4V           , ,3232,100,4.9,0.15,0.25,0.15,1,0.468,0.021
432,HD 006665           ,5285,Li-rich 2.93                 ,1,7,36.4145,+,20,33,43.309,16.9017277,20.5620289,8.44, ,G5            , ,4700,100,2.7,0.15,0.2,0.15,1,1.238,0.4045
433,HD 006673           ,5224,                             ,1,6,47.4291,-,50,59,22.005,16.6976223,-50.9894447,8.84, ,K2.5V         , ,4926,70,4.5,0.09,-0.24,0.09,3,0.732,0.0275
434,HD 006681           ,5293,                             ,1,7,44.2154,+,18,10,42.633,16.9342308,18.1785088,8.85, ,O4I           , ,40000,800,3.64,0.15,0,0.15,1,-1,-1
435,HD 006695           ,5310,psi02 Psc                    ,1,7,57.1638,+,20,44,20.831,16.9881821,20.7391205,5.569, ,A3V           , ,8765,175.3,4.13,0.15,-0.12,0.15,1,1.972,0.15
436,HD 006706           ,5296,30 Cet                       ,1,7,46.2085,-,9,47,7.981,16.9425354,-9.7855511,5.72, ,F7IV          , ,6540,130.8,4.18,0.15,0.26,0.15,1,1.418,0.1015
437,HD 006715           ,5335,                             ,1,8,12.4845,+,21,58,37.231,17.0520191,21.9770088,7.65, ,G5            , ,5624,112.48,4.48,0.15,-0.18,0.15,1,0.901,0.0515
438,HD 006718           ,5301,                             ,1,7,48.6629,-,8,14,1.33,16.9527626,-8.2337027,8.45, ,G5V           ,P,5724,57.24,4.41,0.05,-0.07,0.05,7,0.961,0.027
439,HD 006734           ,5315,29 Cet                       ,1,7,59.6641,+,1,59,34.951,16.9986,1.993042,6.46, ,K0IV          , ,5002,50.02,3.43,0.17,-0.45,0.05,10,0.951,0.0875
440,HD 006735           ,5280,                             ,1,7,32.0518,-,41,44,48.127,16.8835487,-41.7467041,7, ,F9V           , ,6091,73.092,4.48,0.07,-0.06,0.07,4,1.098,0.035
441,HD 006753           ,5264,                             ,1,7,14.4971,-,56,6,12.517,16.8104057,-56.1034737,8.806, ,G2V           , ,5742,97.614,3.89,0.11,0.03,0.11,2,1.172,0.1145
442,HD 006755           ,5445,                             ,1,9,43.0639,+,61,32,50.201,17.4294319,61.5472794,7.73, ,G8IIvw        , ,5121,56,2.74,0.13,-1.57,0.06,10,0.855,0.087
443,HD 006763           ,5346,80 Psc                       ,1,8,22.1983,+,5,38,59.349,17.0924931,5.6498189,5.522, ,F0III-IV      , ,6938,117.946,4.1,0.11,-0.08,0.11,2,1.462,0.0855
444,HD 006790           ,5311,                             ,1,7,57.6157,-,37,53,53.371,16.9900646,-37.898159,9.34, ,G0V           , ,6083,121.66,4.36,0.15,0.04,0.15,1,1.115,0.0755
445,HD 006805           ,5364,Star in double system        ,1,8,35.3916,-,10,10,56.151,17.1474648,-10.1822643,3.45, ,K1.5III       , ,4596,107,2.57,0.36,0.11,0.08,7,1.136,0.258
446,HD 006833           ,5458,                             ,1,9,52.2645,+,54,44,20.274,17.4677677,54.7389641,6.771, ,G9III         , ,4458,90,1.62,0.28,-0.75,0.1,7,0.987,0.198
447,HD 006834           ,5441,                             ,1,9,35.2621,+,39,46,51.763,17.396925,39.781044,8.417, ,F2            , ,6390,71,4.16,0.08,-0.63,0.05,7,1.043,0.035
448,HD 006840           ,5531,Double or multiple star      ,1,10,50.7451,+,67,46,48.342,17.7114372,67.780098,6.554, ,G0            , ,5905,63,3.86,0.13,-0.41,0.05,5,1.12,0.1195
449,HD 006860           ,5447,bet And                      ,1,9,43.9236,+,35,37,14.008,17.4330139,35.6205559,2.06, ,M0III         , ,3813,70,1.33,0.31,-0.16,0.12,3,1.055,0.171
450,HD 006872           ,5480,Star in double system        ,1,10,7.4848,+,51,44,48.067,17.5311871,51.746685,8.06, ,F8            , ,6409,128.18,4.21,0.15,-0.05,0.15,1,1.242,0.0895
451,HD 006872 B         ,5476,Star in double system        ,1,10,7.1697,+,51,44,33.859,17.5298729,51.7427406,8.53, ,F5V           , ,6274,106.658,4.35,0.11,-0.08,0.11,2,1.161,0.0575
452,HD 006920           ,5493,44 And                       ,1,10,18.7404,+,42,4,53.31,17.578083,42.0814743,5.679, ,F8V           , ,5907,79,3.72,0.13,-0.08,0.07,5,1.408,0.1635
453,HD 006961           ,5542,tet Cas                      ,1,11,6.1622,+,55,8,59.647,17.7756767,55.1499023,4.33, ,A7V           , ,7900,158,3.81,0.15,0.07,0.15,1,2.289,0.205
454,HD 006963           ,5521,                             ,1,10,41.9048,+,42,55,54.593,17.6746025,42.9318314,7.66, ,G7V           , ,5496,93.432,4.55,0.11,-0.17,0.11,2,0.872,0.0415
455,HD 006976           ,5485,HR 346                       ,1,10,11.9471,-,8,54,22.087,17.5497799,-8.9061346,6.399, ,K0III         , ,4824,70,2.78,0.2,0.06,0.09,3,1.525,0.529
456,HD 007041           ,5455,                             ,1,9,49.4679,-,56,21,21.69,17.4561157,-56.3560219,9.026, ,G6/G8IV/Vw... , ,5079,101.58,2.79,0.15,-0.83,0.15,1,1.003,0.231
457,HD 007047           ,5534,                             ,1,10,54.2827,+,9,33,50.044,17.7261772,9.5639009,7.23, ,G0            , ,5898,117.96,4.25,0.15,-0.09,0.15,1,1.026,0.0745
458,HD 007087           ,5571,chi Psc                      ,1,11,27.2202,+,21,2,4.74,17.8634186,21.0346489,4.666, ,G8.5IIIa      , ,4892,70,2.43,0.09,-0.1,0.09,3,2.761,0.292
459,HD 007106           ,5586,tau Psc                      ,1,11,39.6368,+,30,5,22.698,17.9151535,30.0896397,4.523, ,K0.5IIIb      , ,4671,70,2.58,0.12,0.05,0.05,5,1.324,0.4455
460,HD 007134           ,5578,                             ,1,11,32.0801,-,12,50,35.098,17.883667,-12.8430824,7.48, ,G1V           , ,5950,71.4,4.39,0.07,-0.3,0.07,4,0.972,0.0365
461,HD 007165           ,5580,                             ,1,11,34.1085,-,30,34,1.122,17.8921204,-30.5669785,9.117, ,K2III         , ,4320,100,1.6,0.15,-0.29,0.15,1,1.097,0.272
462,HD 007172           ,0,                             ,1,11,43.161,-,25,57,30.87,17.9298382,-25.9585762,8.79, ,K0III+...     , ,5900,118,4.4,0.15,-0.3,0.15,1,0.951,0.063
463,HD 007199           ,5529,                             ,1,10,47.2227,-,66,11,17.391,17.6967602,-66.1881638,8.051, ,K0IV/V        ,P,5366,53.66,4.32,0.13,0.33,0.05,6,0.96,0.0285
464,HD 007228           ,5682,                             ,1,13,2.3043,+,33,9,17.802,18.2596016,33.1549454,7.413, ,F5            , ,6100,73.2,4.1,0.07,-0.12,0.07,4,1.16,0.0635
465,HD 007318           ,5742,Star in double system        ,1,13,44.9471,+,24,35,1.367,18.4372787,24.5837135,4.676, ,K0III         , ,4812,85,2.65,0.11,-0.03,0.11,2,2.192,0.6965
466,HD 007345           ,5743,Spectroscopic binary         ,1,13,45.2657,+,7,34,41.74,18.4386082,7.5782609,6.293, ,F7V           , ,5663,113.26,4.1,0.15,-0.13,0.15,1,0.963,0.082
467,HD 007351           ,5772,Semi-regular pulsating Star  ,1,14,4.9071,+,28,31,46.47,18.5204468,28.5295753,6.375, ,Ms            , ,3583,70,0.83,0.24,0.04,0.09,3,1.083,0.182
468,HD 007424           ,5775,                             ,1,14,7.2404,-,16,25,34.99,18.5301685,-16.4263859,10.08, ,G8V           , ,5663,85,4.47,0.16,-0.51,0.06,7,0.831,0.0345
469,HD 007438           ,0,Star in double system        ,1,14,22.438,-,7,54,39.37,18.5934906,-7.9109364,7.87, ,G9V           , ,5276,73.864,4.54,0.09,-0.27,0.09,3,0.801,0.0325
470,HD 007439           ,5799,Star in double system        ,1,14,24.0412,-,7,55,22.172,18.600172,-7.9228253,5.13, ,F5V           , ,6418,64.18,4.09,0.07,-0.32,0.08,7,1.221,0.067
471,HD 007449           ,5806,                             ,1,14,29.3222,-,5,2,50.614,18.6221771,-5.0473928,7.48, ,F9.5V         ,P,6015,84.21,4.49,0.09,-0.11,0.09,3,1.05,0.0425
472,HD 007476           ,5833,38 Cet                       ,1,14,49.172,-,0,58,25.661,18.7048836,-0.9737947,5.687, ,F5V           , ,6462,77.544,3.95,0.13,-0.24,0.07,4,1.372,0.1125
473,HD 007510           ,5891,                             ,1,15,41.1825,+,34,43,33.117,18.9215927,34.7258682,7.65, ,G5            , ,5478,109.56,3.86,0.15,0.15,0.15,1,1.134,0.153
474,HD 007530           ,5857,                             ,1,15,8.0363,-,22,53,58.094,18.7834854,-22.8994713,8.31, ,G8IV          , ,4951,100,3.25,0.15,-0.24,0.15,1,1.034,0.166
475,HD 007570           ,5862,HR 370                       ,1,15,11.1225,-,45,31,54.007,18.7963428,-45.5316696,4.96, ,F9VFe+0.4     , ,6114,61.14,4.33,0.06,0.16,0.05,15,1.189,0.035
476,HD 007573           ,5700,                             ,1,13,21.5411,-,74,16,38.336,18.3397541,-74.2773209,8.516, ,G5V           , ,5804,98.668,4.32,0.11,0.06,0.11,2,1.025,0.0565
477,HD 007578           ,5936,HR 371                       ,1,16,18.9219,+,33,6,52.992,19.0788403,33.1147194,6.05, ,K1III         , ,4698,85,2.57,0.11,0.18,0.11,2,2.348,0.7685
478,HD 007590           ,5944,                             ,1,16,29.253,+,42,56,21.911,19.1218872,42.9394226,6.61, ,G0            , ,5978,83.692,4.45,0.09,-0.08,0.09,3,1.049,0.043
479,HD 007595           ,0,                             ,1,15,29.53,-,28,15,53.59,18.8730412,-28.2648869,9.72, ,K2III-IV      , ,4347,85,1.61,0.11,-0.69,0.12,2,0.985,0.183
480,HD 007621           ,5817,                             ,1,14,40.4574,-,64,45,51.108,18.6685734,-64.7641983,9.03, ,K0IV/V        , ,5329,90.593,4.36,0.11,-0.05,0.11,2,0.862,0.0365
481,HD 007650           ,0,LTT 10465                    ,1,16,31.431,+,9,37,22.28,19.1309624,9.6228561,8.77, ,G0            , ,5550,111,4,0.15,-0.52,0.15,1,0.91,0.0765
482,HD 007661           ,5938,                             ,1,16,24.1951,-,12,5,49.205,19.1008129,-12.0970011,7.55, ,K0V           , ,5424,75.936,4.5,0.09,0.03,0.09,3,0.9,0.0365
